akira,bigmath,bubble_pop,countingx,picmatch,spelling,story_questions,story_reading,word_copy
0,10.035,0,0.091,0.001,0.01,0,0,0
10.162,10.115,10,0.094,0.002,0.028,103.782,0.002,0.174
10.184,10.174,10.009,0.1,0.003,0.048,108.461,0.003,0.255
10.188,10.192,10.014,0.113,0.004,0.086,11.24,0.004,0.355
10.207,10.218,10.021,0.119,0.039,0.092,11.462,0.005,0.364
10.238,10.273,10.025,0.132,0.06,0.12,12.765,0.006,0.379
10.239,10.283,10.034,0.133,0.194,0.125,14.391,0.007,0.38
10.241,10.304,10.038,0.134,0.214,0.128,15.187,0.008,0.438
10.243,10.309,10.042,0.144,0.225,0.136,169.504,0.009,0.47
10.249,10.31,10.043,0.166,0.23,0.137,17.674,0.01,0.519
10.25,10.316,10.049,15.705,0.275,0.159,19.828,0.011,0.593
10.252,10.427,10.05,16.138,0.545,0.168,2.273,0.012,0.617
10.26,10.432,10.06,17.201,1.218,0.176,2.305,0.014,0.637
10.276,10.689,10.073,17.291,1.77,0.177,2.349,0.015,0.673
10.285,10.729,10.087,18.312,10.424,0.179,2.488,0.016,0.691
10.29,10.976,10.09,19.088,10.681,0.183,2.667,0.017,0.703
10.297,11.016,10.091,20.39,11.44,0.186,2.673,0.018,0.717
10.304,11.022,10.096,20.707,11.507,0.188,2.678,0.019,0.718
10.308,11.042,10.103,20.778,11.566,0.189,2.68,0.02,0.749
10.309,11.116,10.11,24.78,13.415,0.192,2.681,0.021,0.752
10.31,11.135,10.117,6.703,13.509,0.194,2.683,0.022,0.764
10.312,11.266,10.137,6.749,13.535,0.196,2.685,0.023,0.77
10.329,11.367,10.139,6.901,14.564,0.2,2.69,0.024,0.779
10.355,11.405,10.156,7.195,14.908,0.202,2.695,0.025,0.837
10.376,11.417,10.164,7.285,15.54,0.203,2.726,0.026,0.862
10.397,11.43,10.178,7.691,16.801,0.211,2.731,0.027,0.877
10.402,11.482,10.19,8.281,2.108,0.213,2.733,0.028,0.886
10.437,11.517,10.192,,22.25,0.215,2.744,0.029,0.891
10.458,11.53,10.193,,22.496,0.219,2.746,0.03,0.893
10.517,11.536,10.209,,23.665,0.22,2.749,0.032,0.908
10.535,11.541,10.21,,25.555,0.221,2.76,0.033,0.927
10.563,11.581,10.217,,3.172,0.229,2.763,0.034,0.969
10.589,11.636,10.223,,3.305,0.23,2.791,0.035,0.972
10.825,11.643,10.242,,3.321,0.236,2.857,0.036,0.986
10.835,11.719,10.246,,3.89,0.237,2.862,0.037,0.994
10.836,11.758,10.274,,35.807,0.238,2.879,0.038,1.017
10.839,11.878,10.289,,4.513,0.242,2.896,0.039,1.042
10.904,11.998,10.294,,4.753,0.245,2.902,0.04,1.053
11.048,12.089,10.305,,4.873,0.247,2.93,0.041,1.063
11.47,12.168,10.312,,5.404,0.248,2.979,0.042,1.086
14.835,12.405,10.32,,5.408,0.254,20.144,0.043,1.107
21.276,12.638,10.336,,6.092,0.262,20.534,0.044,1.109
22.085,12.811,10.339,,6.707,0.269,20.708,0.045,1.124
22.465,12.835,10.363,,6.802,0.27,22.708,0.046,1.137
23.58,12.839,10.377,,7.329,0.272,223.062,0.047,1.149
24.926,12.864,10.383,,7.438,0.273,23.119,0.048,1.152
25.805,12.867,10.396,,7.468,0.279,23.188,0.049,1.153
25.858,12.972,10.423,,7.65,0.28,23.852,0.05,1.159
28.013,13.006,10.429,,8.303,0.281,24.151,0.052,1.166
29.865,13.007,10.436,,8.312,0.282,25.185,0.053,1.174
29.975,13.024,10.439,,9.003,0.287,25.416,0.056,1.176
30.314,13.192,10.445,,9.031,0.288,25.724,0.057,1.177
38.822,13.266,10.448,,9.569,0.289,26.746,0.063,1.185
49.238,13.275,10.452,,9.656,0.29,28.576,0.064,1.205
56.616,13.302,10.458,,,0.297,28.653,0.065,1.206
56.617,13.305,10.459,,,0.298,28.8,0.066,1.217
59.142,13.401,10.46,,,0.303,286.757,0.067,1.223
6.176,13.635,10.469,,,0.304,29.314,0.068,1.224
6.178,13.932,10.498,,,0.305,29.577,0.069,1.23
6.191,14.239,10.501,,,0.308,3.026,0.07,1.231
6.192,14.397,10.544,,,0.313,3.033,0.071,1.232
6.206,14.487,10.548,,,0.314,3.201,0.072,1.238
6.21,14.542,10.551,,,0.315,3.205,0.073,1.244
6.211,14.731,10.552,,,0.321,3.245,0.074,1.251
